DateTimeOfCall,HourlyNotionalCost,IncidentNotionalCost,AnimalGroupParent,WardCode,Ward,Latitude,Longitude
01/01/2009 03:01,255,510,Dog,E05011467,Crystal Palace & Upper Norwood,NULL,NULL
01/01/2009 08:51,255,255,Fox,E05000169,Woodside,51.39095371,-0.064166887
04/01/2009 10:07,255,255,Dog,E05000558,Carshalton Central,51.36894086,-0.161985191
05/01/2009 12:27,255,255,Horse,E05000330,Harefield,51.60528344,-0.489683853
06/01/2009 15:23,255,255,Rabbit,E05000310,Gooshays,NULL,NULL
06/01/2009 19:30,255,255,Unknown - Heavy Livestock Animal,E05000027,Alibon,NULL,NULL
07/01/2009 06:29,255,255,Dog,E05000591,Cathall,51.55722086,0.003880198
07/01/2009 11:55,255,255,Dog,E05000515,Wanstead,51.56106688,0.037433776
07/01/2009 13:48,255,255,Squirrel,E05011470,New Addington North,NULL,NULL
07/01/2009 21:24,255,255,Dog,E05009380,Lea Bridge,51.56331352,-0.047620955
08/01/2009 14:34,255,255,Cat,E05000115,Cray Valley West,51.4036626,0.111722339
08/01/2009 19:23,255,510,Bird,E05000620,Queenstown,51.47994253,-0.148525691
09/01/2009 11:01,255,255,Dog,E05000535,Camberwell Green,51.47209876,-0.093952949
09/01/2009 11:18,255,255,Dog,E05000034,Heath,51.55693599,0.161258357
09/01/2009 12:40,255,255,Cat,E05000528,South Richmond,51.45768783,-0.29580467
09/01/2009 13:43,255,255,Cat,E05011489,Woodside,51.39205798,-0.062970325
09/01/2009 14:30,255,255,Cat,E05000453,Telegraph Hill,51.45738228,-0.045120782
09/01/2009 14:39,255,255,Dog,E05000431,Streatham South,51.42143443,-0.117391508
10/01/2009 09:35,255,255,Unknown - Domestic Animal Or Pet,E05000540,East Walworth,51.49327092,-0.091384632
10/01/2009 10:09,255,255,Dog,E05000159,Purley,51.34167993,-0.11084037
10/01/2009 11:27,255,255,Cat,E05000540,East Walworth,51.49331609,-0.091397151
10/01/2009 12:26,255,255,Cat,E05009325,Lansbury,NULL,NULL
10/01/2009 12:32,255,255,Dog,E05000288,Greenhill,51.57668207,-0.340758362
10/01/2009 13:05,255,255,Cat,E05000039,Thames,51.52831647,0.119072708
10/01/2009 13:28,255,255,Dog,E05000055,Hendon,51.58594049,-0.211240794
10/01/2009 16:38,255,255,Cat,E05009321,Bromley North,51.52659798,-0.009689766
11/01/2009 10:11,255,765,Dog,E05000637,Knightsbridge and Belgravia,51.50496632,-0.167814607
11/01/2009 12:32,255,255,Bird,E05000315,Hylands,51.55893097,0.196208829
12/01/2009 13:10,255,255,Cat,E05000031,Eastbury,NULL,NULL
12/01/2009 16:39,255,255,Dog,E05000032,Gascoigne,51.5332637,0.077790345
14/01/2009 06:38,255,255,Dog,E05000454,Whitefoot,NULL,NULL
15/01/2009 12:38,255,255,Bird,E05000425,Larkhall,51.47426021,-0.133275614
17/01/2009 11:40,255,255,Dog,E05000348,Chiswick Homefields,51.47703452,-0.252645628
